Type,phi,Kstand
Driven,32.61627907,0.355692619
Driven,33.16860465,0.446319515
Driven,33.54651163,0.509059656
Driven,33.8372093,0.557856421
Driven,34.18604651,0.613629929
Driven,34.50581395,0.669393327
Driven,34.85465116,0.732123357
Driven,35.14534884,0.787876643
Driven,35.46511628,0.847118301
Driven,35.84302326,0.927249747
Driven,36.22093023,1.007381193
Driven,36.51162791,1.073569262
Driven,36.91860465,1.167623862
Driven,37.20930233,1.251203236
Driven,37.44186047,1.327805865
Jacked,32.5,0.233913043
Jacked,32.93604651,0.272325581
Jacked,33.51744186,0.324701719
Jacked,34.09883721,0.373599596
Jacked,34.73837209,0.429474216
Jacked,35.31976744,0.481850354
Jacked,35.90116279,0.537704752
Jacked,36.51162791,0.597047523
Jacked,36.97674419,0.649383215
Jacked,37.52906977,0.708705763
Jacked,38.02325581,0.768008089
Jacked,38.43023256,0.816845298
Jacked,38.77906977,0.865662285
Jacked,39.18604651,0.914499494
Jacked,39.50581395,0.959828109
Jacked,40,1.019130435
Bored,32.55813953,0.084368049
Bored,33.43023256,0.126410516
Bored,34.18604651,0.161456016
Bored,35,0.206956522
Bored,35.49418605,0.234954499
Bored,35.81395349,0.255935288
Bored,36.13372093,0.280394338
Bored,36.54069767,0.315318504
Bored,36.97674419,0.353731041
Bored,37.3255814,0.385156724
Bored,37.55813953,0.406107179
Bored,37.81976744,0.427067745
