phi,Nq
25,16.34016675
26.32947977,19.43424053
27.48554913,22.80683391
28.35260116,25.71509123
29.04624277,28.2314892
29.79768786,31.40941534
30.54913295,34.9450702
31.01156069,37.35404396
31.58959538,41.00624739
32.16763006,45.01553639
32.86127168,50.74993905
33.38150289,54.97529647
33.84393064,59.55016609
34.30635838,64.50574184
34.8265896,70.80992233
35.34682081,77.73021374
35.92485549,86.47009828
36.2716763,92.42391156
36.67630058,100.111296
37.13872832,109.8910112
37.71676301,122.2470141
38.17919075,134.1891327
38.87283237,153.3042272
39.39306358,170.5350147
40.02890173,192.2516167
40.43352601,208.2421982
40.95375723,228.5938191
41.3583815,247.6071733
41.70520231,264.6559209
41.99421965,279.1384482
42.34104046,298.3582506
42.6300578,314.6850401
42.91907514,331.9052658
43.26589595,354.7582753
43.55491329,374.1713925
43.95953757,405.2932018
44.19075145,421.8198547
44.53757225,450.8638444
45,494.9080246
38.52601156,143.428593
27.89017341,24.05671711
26.84971098,20.77475639
25.92485549,18.42452126
25.46242775,17.23631823
29.45086705,29.77865985
28.69942197,26.76572947
30.20231214,33.13074592
31.82080925,42.67836035
32.51445087,47.48070216
39.68208092,179.8670485
39.16184971,161.6933562
27.13872832,21.6227186
37.42774566,115.9044779
40.72254335,219.6376482
35.63583815,81.98377413
31.24277457,38.87723091
