fines,sand,soiltype,gravel
15,0,Gr,85
15,20,Gr,65
0,20,Gr,80
0,0,Gr,100
15,20,saGr,65
15,42.5,saGr,42.5
0,50,saGr,50
0,20,saGr,80
15,42.5,grSa,42.5
15,65,grSa,20
0,80,grSa,20
0,50,grSa,50
15,65,Sa,20
15,85,Sa,0
0,100,Sa,0
0,80,Sa,20
40,0,"siGr,clGr",60
40,20,"siGr,clGr",40
15,20,"siGr,clGr",65
15,0,"siGr,clGr",85
40,20,"sagrsiS,sagrclS",40
40,30,"sagrsiS,sagrclS",30
20,40,"sagrsiS,sagrclS",40
40,20,"sasiGr,saclGr",40
20,40,"sasiGr,saclGr",40
15,42.5,"sasiGr,saclGr",42.5
15,20,"sasiGr,saclGr",65
40,30,"grsasiS,grsaclS",30
40,40,"grsasiS,grsaclS",20
20,40,"grsasiS,grsaclS",40
40,40,"grsiSa,grclSa",20
15,65,"grsiSa,grclSa",20
15,42.5,"grsiSa,grclSa",42.5
20,40,"grsiSa,grclSa",40
40,40,"siSa,clSa",20
40,60,"siSa,clSa",0
15,85,"siSa,clSa",0
15,65,"siSa,clSa",20
80,0,"grSi,grclSi,grsiCl,grCl",20
60,20,"grSi,grclSi,grsiCl,grCl",20
40,20,"grSi,grclSi,grsiCl,grCl",40
40,0,"grSi,grclSi,grsiCl,grCl",60
60,20,"sagrSi,sagrCl",20
40,30,"sagrSi,sagrCl",30
40,20,"sagrSi,sagrCl",40
60,20,"grsaSi,grsaCl",20
40,40,"grsaSi,grsaCl",20
40,30,"grsaSi,grsaCl",30
80,20,"saSi,saclSi,sasiCl,saCl",0
40,60,"saSi,saclSi,sasiCl,saCl",0
40,40,"saSi,saclSi,sasiCl,saCl",20
60,20,"saSi,saclSi,sasiCl,saCl",20
100,0,"Si,clSi,siCl,Cl",0
80,20,"Si,clSi,siCl,Cl",0
60,20,"Si,clSi,siCl,Cl",20
80,0,"Si,clSi,siCl,Cl",20
